role_slug,pathway_family,salary_source,demand_source
archivist,7,"UK culture, knowledge, creative, and fashion sector data 2025/26 (CILIP, ARA, NRCPD/RBSLI, Prospects, sector salary data, fashion/media industry sources); archivists £24-30k building, with experienced and senior archivists, and digital-records/information-governance roles £35-42k+ (management and specialist roles higher); modestly paid, with the digital and records-management corners better-paid and more in-demand","UK culture, knowledge, creative, and fashion sector data 2025/26 (CILIP, ARA, NRCPD/RBSLI, Prospects, sector salary data, fashion/media industry sources)"
celebrity-agent-talent-agent,22,"UK culture, knowledge, creative, and fashion sector data 2025/26 (CILIP, ARA, NRCPD/RBSLI, Prospects, sector salary data, fashion/media industry sources); agency assistants/junior agents start modestly (£22-30k), with established agents earning well via commission (typically ~10-20% of clients' earnings) — successful agents £50-100k+ and top agents with major clients far more; income is commission-and-roster-dependent, so it scales with your clients' success","UK culture, knowledge, creative, and fashion sector data 2025/26 (CILIP, ARA, NRCPD/RBSLI, Prospects, sector salary data, fashion/media industry sources)"
commercial-photographer,17,"UK culture, knowledge, creative, and fashion sector data 2025/26 (CILIP, ARA, NRCPD/RBSLI, Prospects, sector salary data, fashion/media industry sources); commercial photographers are largely self-employed, with income variable and skill/specialism-dependent — from building/part-time to £30-45k for established photographers and £50-55k+ for sought-after specialists (commercial, advertising, and niche experts more); the commodity end pays poorly, the specialist end well","UK culture, knowledge, creative, and fashion sector data 2025/26 (CILIP, ARA, NRCPD/RBSLI, Prospects, sector salary data, fashion/media industry sources)"
conference-interpreter,26,"UK culture, knowledge, creative, and fashion sector data 2025/26 (CILIP, ARA, NRCPD/RBSLI, Prospects, sector salary data, fashion/media industry sources); conference interpreters earn strongly — staff interpreters at international organisations are well-paid, and freelance conference interpreters command high day rates (£400-700+/day, more for rare/in-demand language combinations and AIIC-level interpreters), equating to £45-80k+ for established interpreters; among the best-paid interpreting work","UK culture, knowledge, creative, and fashion sector data 2025/26 (CILIP, ARA, NRCPD/RBSLI, Prospects, sector salary data, fashion/media industry sources)"
ethicist-applied-ethicist,7,"UK culture, knowledge, creative, and fashion sector data 2025/26 (CILIP, ARA, NRCPD/RBSLI, Prospects, sector salary data, fashion/media industry sources); applied ethicists' pay varies by setting — academic ethics follows academic pay (precarious early, then lecturer-to-professor), while applied roles in AI/tech ethics, healthcare/research ethics, and corporate responsibility £40-55k building to £65-75k+ (senior tech-ethics and consulting roles higher); the applied/tech end pays better and is growing","UK culture, knowledge, creative, and fashion sector data 2025/26 (CILIP, ARA, NRCPD/RBSLI, Prospects, sector salary data, fashion/media industry sources)"
event-producer,21,"UK culture, knowledge, creative, and fashion sector data 2025/26 (CILIP, ARA, NRCPD/RBSLI, Prospects, sector salary data, fashion/media industry sources); event producers £28-38k building, with experienced and senior producers and creative/production directors £50-70k+ (top agency and brand-experience roles higher); a well-paid, in-demand senior role in the booming events sector","UK culture, knowledge, creative, and fashion sector data 2025/26 (CILIP, ARA, NRCPD/RBSLI, Prospects, sector salary data, fashion/media industry sources)"
fashion-buyer,22,"UK culture, knowledge, creative, and fashion sector data 2025/26 (CILIP, ARA, NRCPD/RBSLI, Prospects, sector salary data, fashion/media industry sources); fashion buyers' assistants/junior buyers £24-30k, buyers £35-50k, with senior buyers and buying managers/heads £55-65k+ (large retailers more); a commercial, well-paid fashion career, far more employable than design or modelling","UK culture, knowledge, creative, and fashion sector data 2025/26 (CILIP, ARA, NRCPD/RBSLI, Prospects, sector salary data, fashion/media industry sources)"
fashion-model,28,"UK culture, knowledge, creative, and fashion sector data 2025/26 (CILIP, ARA, NRCPD/RBSLI, Prospects, sector salary data, fashion/media industry sources); we band this 0/0/0 deliberately: most models earn little or nothing (sporadic work, costs, and agency cuts often net very little), while a tiny elite earn a great deal — there is no reliable 'model salary' to plan around, and income for the realistic majority is minimal and insecure","UK culture, knowledge, creative, and fashion sector data 2025/26 (CILIP, ARA, NRCPD/RBSLI, Prospects, sector salary data, fashion/media industry sources)"
finds-specialist-artefact-analyst,7,"UK culture, knowledge, creative, and fashion sector data 2025/26 (CILIP, ARA, NRCPD/RBSLI, Prospects, sector salary data, fashion/media industry sources); finds specialists follow archaeology pay — £22-28k building, with experienced specialists and senior finds/post-excavation roles £32-40k+; a modestly-paid specialist niche, with the realities of project-based commercial archaeology","UK culture, knowledge, creative, and fashion sector data 2025/26 (CILIP, ARA, NRCPD/RBSLI, Prospects, sector salary data, fashion/media industry sources)"
librarian,15,"UK culture, knowledge, creative, and fashion sector data 2025/26 (CILIP, ARA, NRCPD/RBSLI, Prospects, sector salary data, fashion/media industry sources); library assistants £22-26k, professional (chartered) librarians £28-38k, with senior, academic, legal, corporate, and information-management roles £40-45k+ (specialist and management roles higher); modestly paid in public libraries, better in specialist sectors","UK culture, knowledge, creative, and fashion sector data 2025/26 (CILIP, ARA, NRCPD/RBSLI, Prospects, sector salary data, fashion/media industry sources)"
model-maker-prop-maker,20,"UK culture, knowledge, creative, and fashion sector data 2025/26 (CILIP, ARA, NRCPD/RBSLI, Prospects, sector salary data, fashion/media industry sources); model/prop makers £22-30k building (often via workshops/studios), with experienced and senior makers, and busy freelancers in film/TV £38-48k+ (specialist and senior screen roles more); skilled work, with project-based freelance income common","UK culture, knowledge, creative, and fashion sector data 2025/26 (CILIP, ARA, NRCPD/RBSLI, Prospects, sector salary data, fashion/media industry sources)"
